Bladder_CD8 T Cells	Bladder_Stromal Cells	Bladder_Epithelial Cells	Bladder_CD4 T Cells	Bladder_Smooth Muscle Cells	Bladder_Mast Cells	Bladder_Macrophages	Bladder_Neutrophils	Bladder_B Cells	Bladder_Endothelial Cells	Bladder_Plasma Cells	Bladder_NK Cells	Blood_CD8 T Cells	Blood_CD14 Monocytes	Blood_Red Blood Cells	Blood_Neutrophils	Blood_B Cells	Blood_CD4 T Cells	Blood_CD16 Monocytes	Bone_Marrow_Neutrophils	Bone_Marrow_CD4 T Cells	Bone_Marrow_Red Blood Cells	Bone_Marrow_CD8 T Cells	Bone_Marrow_B Cells	Eye_Melanocytes	Eye_Epithelial Cells	Eye_Fibroblasts	Eye_Macrophages	Eye_Endothelial Cells	Eye_CD8 T Cells	Fat_Endothelial Cells	Fat_CD4 T Cells	Fat_Fibroblasts	Fat_Adipocytes	Fat_Neutrophils	Fat_CD8 T Cells	Fat_Macrophages	Fat_Smooth Muscle Cells	Heart_Endothelial Cells	Heart_Cardiomyocytes	Heart_Epithelial Cells	Heart_Smooth Muscle Cells	Heart_Fibroblasts	Large_Intestine_Epithelial Cells	Large_Intestine_Glial Cells	Large_Intestine_CD4 T Cells	Large_Intestine_CD8 T Cells	Large_Intestine_Fibroblasts	Large_Intestine_Plasma Cells	Large_Intestine_Macrophages	Large_Intestine_Mast Cells	Large_Intestine_Smooth Muscle Cells	Large_Intestine_Endothelial Cells	Liver_Neutrophils	Liver_Endothelial Cells	Liver_CD8 T Cells	Liver_Macrophages	Lung_CD8 T Cells	Lung_Epithelial Cells	Lung_Endothelial Cells	Lung_CD14 Monocytes	Lung_Smooth Muscle Cells	Lung_Dendritic Cells	Lung_Mast Cells	Lung_CD16 Monocytes	Lung_Plasma Cells	Lung_Macrophages	Lymph_Node_B Cells	Lymph_Node_CD8 T Cells	Lymph_Node_CD4 T Cells	Lymph_Node_CD14 Monocytes	Lymph_Node_Regulatory T Cells	Lymph_Node_NK Cells	Lymph_Node_Plasma Cells	Lymph_Node_Mast Cells	Mammary_CD8 T Cells	Mammary_CD4 T Cells	Mammary_Stromal Cells	Mammary_Macrophages	Mammary_Epithelial Cells	Mammary_Endothelial Cells	Mammary_B Cells	Mammary_Mast Cells	Muscle_Fibroblasts	Muscle_Muscle Cells	Muscle_Macrophages	Muscle_CD4 T Cells	Muscle_Smooth Muscle Cells	Muscle_Endothelial Cells	Muscle_Neutrophils	Pancreas_CD8 T Cells	Pancreas_Epithelial Cells	Pancreas_Neutrophils	Pancreas_Acinar Cells	Pancreas_NK Cells	Pancreas_B Cells	Pancreas_Smooth Muscle Cells	Pancreas_Alpha Cells	Pancreas_Ductal Cells	Pancreas_Macrophages	Prostate_Epithelial Cells	Prostate_Fibroblasts	Prostate_NK Cells	Prostate_CD4 T Cells	Prostate_Endothelial Cells	Prostate_Macrophages	Prostate_Smooth Muscle Cells	Prostate_CD8 T Cells	Salivary_Gland_Serous Grandular Cells	Salivary_Gland_B Cells	Salivary_Gland_Plasma Cells	Salivary_Gland_CD4 T Cells	Salivary_Gland_CD8 T Cells	Salivary_Gland_Fibroblasts	Salivary_Gland_Endothelial Cells	Salivary_Gland_Macrophages	Salivary_Gland_Epithelial Cells	Salivary_Gland_Neutrophils	Salivary_Gland_Smooth Muscle Cells	Skin_Fibroblasts	Skin_CD4 T Cells	Skin_Macrophages	Skin_Mast Cells	Skin_Smooth Muscle Cells	Skin_CD8 T Cells	Skin_Endothelial Cells	Skin_Regulatory T Cells	Skin_Melanocytes	Skin_Neutrophils	Skin_Epithelial Cells	Small_Intestine_CD4 T Cells	Small_Intestine_Epithelial Cells	Small_Intestine_Glial Cells	Small_Intestine_CD8 T Cells	Small_Intestine_B Cells	Small_Intestine_Mast Cells	Spleen_CD8 T Cells	Spleen_Macrophages	Spleen_Neutrophils	Spleen_B Cells	Spleen_CD14 Monocytes	Spleen_CD4 T Cells	Spleen_CD16 Monocytes	Spleen_Plasma Cells	Spleen_NK Cells	Spleen_Endothelial Cells	Thymus_CD4 T Cells	Thymus_CD8 T Cells	Thymus_Regulatory T Cells	Thymus_Smooth Muscle Cells	Thymus_Endothelial Cells	Thymus_Neutrophils	Thymus_B Cells	Thymus_Fibroblasts	Thymus_Plasma Cells	Tongue_CD8 T Cells	Tongue_CD4 T Cells	Tongue_Regulatory T Cells	Tongue_Macrophages	Tongue_Smooth Muscle Cells	Tongue_Fibroblasts	Tongue_Epithelial Cells	Trachea_Neutrophils	Trachea_B Cells	Trachea_CD8 T Cells	Trachea_Fibroblasts	Trachea_Macrophages	Trachea_Smooth Muscle Cells	Trachea_Mast Cells	Trachea_Endothelial Cells	Trachea_Epithelial Cells	Uterus_CD4 T Cells	Uterus_Fibroblasts	Uterus_Macrophages	Uterus_Regulatory T Cells	Uterus_CD8 T Cells	Uterus_Endothelial Cells	Uterus_Epithelial Cells	Uterus_Smooth Muscle Cells	Vasculature_Endothelial Cells	Vasculature_Fibroblasts	Vasculature_Neutrophils	Vasculature_CD14 Monocytes	Vasculature_Smooth Muscle Cells	Vasculature_Mast Cells	Vasculature_CD4 T Cells	Vasculature_B Cells
SKI	40.8967348742991	34.5282467961406	11.4415657782768	44.4646281758754	40.6388159684328	21.1793616038796	28.7104834033309	29.2414602015566	30.647218169033	50.5057944877134	11.5509120888958	35.3169698039908	22.7989502637877	11.9553916510295	0.801267926366683	21.4737203767922	15.5750545224865	26.1896587892366	49.1717932713144	31.2260844866324	37.2625265194997	5.15687204769075	42.8927418562595	19.0067750513615	23.9505540810996	23.6484426849617	78.6157540899212	31.83486618214	77.530085307322	89.4672631150874	47.7517625265163	40.9740011767733	44.9113823573785	65.0980532225553	55.2204987210279	37.7510374595772	44.7508801666475	45.3099702482091	94.4187933153979	11.8149347360437	17.7505381963181	57.2389718899409	88.3992720777182	34.6149091358635	76.4312825126507	61.7400429122257	83.3733505422327	53.8244305580014	38.5161853570022	50.8088538584936	70.3903142927533	109.125401875278	59.5280615282044	28.8408707401056	69.7083865827953	14.9979645619523	16.2876274356035	29.8785402595959	29.0021415722943	60.7324013640556	13.0500551294415	46.595970225175	53.33422097616	22.6342478392524	41.4609652025044	18.4615611834599	36.4373003216561	15.3300900735459	17.7871120962263	24.1737509958223	23.8511752460989	22.8520146854352	27.1370388744543	7.0359244923346	26.4955876014781	29.2878433999639	25.0406275108673	42.3885842201506	52.8197670971657	13.0275287007952	39.4951998306858	5.42936799441861	49.0220108828864	57.662746721432	60.7590063806093	60.3583017525958	148.926664255473	65.6677503688007	78.0679098812191	78.6353025370063	42.1837436898338	58.9157559365714	34.7943909645926	2.10291563996192	5.01965193733467	15.7054906395276	71.9348484547017	7.33568075117371	20.3047157702376	66.415732667188	12.2406035285209	45.9227562838322	15.9037125626606	18.6227711950655	46.6336345088895	39.9519323417943	50.6503749333706	17.8656715884607	8.84828193480529	16.9665285431414	27.8387004373401	33.4071347159083	36.8500571175885	60.2759525841537	67.5320619015762	68.6232564744063	48.2098533594003	29.5332934186398	61.3033694425131	43.8488981346966	71.2261532747187	47.8209480309078	50.5281001434346	41.6312511925619	48.8663663366206	50.3670832554632	46.7874502690535	27.2980400007279	36.1162075092819	0	50.1204609478552	57.6395293281036	123.009515664676	73.7090876750944	86.2234350985426	33.9974161963691	21.3338856439283	5.94405455849544	14.5167167251448	18.2430441020675	19.6973959065881	35.7148351732884	58.5948745279928	9.01683442988059	33.2625741365607	97.8008248586053	38.1483287304567	30.9794977683769	36.9789284709458	36.8969068795864	51.0748261798902	22.0764876709506	29.8604180083365	35.5029068687747	0	47.8435576227202	56.5853900059591	37.0606329603151	34.3551537638525	44.1452891167922	29.3394118576361	61.8388586226272	22.5004098288933	16.958644570473	45.0409670115453	52.4106901681577	34.8527857057108	57.279975230281	70.191623131148	107.984609351467	35.2641488536937	48.2091554207931	50.699965840898	42.742110828435	15.1883353584447	144.67540264973	9.23616883716634	73.9083105392741	74.8526299534436	62.3850310109152	50.4629531494558	38.6150704966381	39.0436139606799	52.064044222957	34.6908238145567	54.406217853469	19.3242316202402
HES5	0.145023882532976	0.232252781139959	1.43019572228459	0	1.3109295473688	0	0.246089857742836	0	0	3.15661215548209	0	0	0.0863596600901051	0.0257659302823912	0	0	0	0	0	0	0	0	0	0	7.48454815034362	15.8379478532313	5.07198413483363	0	2.42281516585381	0	3.07249946551311	0	0.166338453175476	1.72826689971386	0	0	0	0.263430059582611	14.597642387578	0.581062364067723	0.710021527852725	18.8070907638377	1.01608358710021	6.79935715168748	1.70796162039443	0.347504931963747	1.07965489910805	1.17009631647829	0	0	0	3.35770467308548	0	0	38.1736402715308	0	0.603245460577909	0.231616591159658	0.13103377216398	0.490568670145845	0	0.323583126563715	0	0.411531778895498	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113642316944104	0	0.191581304423459	0.429295650333541	0	0	0.0464086492727823	0.456834634440672	1.21062496351911	0	5.7486919514775	18.9419538706597	0	0	8.36871533189935	0	0	0	0	3.06105738105114	0	0	0	0.52548045450721	0	0	0.191987331907891	4.03560298634621	0	2.41192261587479	0	0	0	0	0	0.558334198751341	0	1.68830154753941	0	0	0	0	0.479222930433843	0.220173580447353	0	0.543312904768114	4.62569457695132	0	4.63907345774003	0	0	0	0	0	0.694452160579562	0	0.403332901094908	0	0	0.111113987728793	0	0	0	0	0.0610510002962194	0	0	0.207891088353505	0	0.0273073219258816	0	0	0.263549334854189	2.9891119647264	0	0.101393609535947	0	0	1.81684396035646	4.12601802126785	1.17652803048619	1.96315164364871	48.7921616554019	0	4.58065619426868	0	0	0	0	0	0	0	14.2085012304562	0.177206778159265	0.502178702299928	0.422499715340817	0	0	0	0	7.64568729716629	3.45957533398269	1.06823683237869	0	0	0.448777171961838	1.05944276035087	0	0	0
E2F2	0	0	1.43019572228459	0.424821288304542	0	0	0.164059905161891	0.408020374905441	0	0	0.962576007407985	28.8957025669016	0.949956260991156	4.76669710224238	69.7103095939014	16.0000269474138	2.2529953082842	0.861501933856466	2.07153896264961	12.5247481732097	2.80470629716665	131.500237216114	1.38363683407289	5.18366592309859	0	1.30174913862175	2.53599206741681	0	0	0	0.256041622126093	0.327792009414187	0.166338453175476	0.576088966571286	1.08987826423081	0.555162315582018	0	0	0.207058757270609	0.774749818756964	1.42004305570545	0	0	1.8543701322784	0	0	0.4798466218258	0	4.27957615077803	0.461898671440851	0	0	0	2.93296990577345	0	10.7128318299659	1.80973638173373	0.694849773478974	0.218389620273301	0	4.03706741414378	0	0.378256886355745	0	0.175310635105727	23.3846441657159	0	0.274568777436643	0.587310305064075	0.277659738645482	1.37075719805166	0.424758637275748	1.40971630516646	5.15967796104537	1.76637250676521	0.206252418309605	0	0	0	0	0	0	0	0.162430272454738	0.0507594038267413	0.691785693439494	0	1.10551768297644	0.811798023028275	0	0.434883955565297	0.223165742183983	2.24479941707049	0	0	0	0	0	0	0	0.0618212299420247	0	1.59037125626606	0	0	0	0	0	0.122326478361363	0	0.296156387631277	0	0	0	0	0	0	1.07393794249599	0	0	0.110086790223677	0.32311451372235	0	0	0.660356301846224	0	0	0	0	0	0.143201316993872	0.694452160579562	2.9287979920161	0.201666450547454	0	0	0.50001294477957	0.792540607799392	28.3075976140324	0.327719355126962	3.74413310621096	0.671561003258414	1.10396140415059	6.01122295325372	0.415782176707009	1.07473433910555	0.300380541184698	0.599603182613746	0.445529258686094	0.527098669708377	0.259922779541426	4.68289132414104	0.659058461983657	0	13.7245752243968	1.21122930690431	1.17886229179082	2.94132007621549	0.981575821824357	2.32343626930485	0	2.29032809713434	0.714298724726772	0.394387083034256	0	0.806318310279349	3.87253174507898	0	0	0	4.34156606490198	0	0	0	0	0	0	0.339808324318502	0	0	0.273511941189462	0	0.448777171961838	0	0	0.914390216024689	0
GRHL3	0.580095530131902	0.967719921416497	51.4870460022454	0.424821288304542	0.3277323868422	0	0.738269573228508	0.816040749810883	0	0	0.962576007407985	0	0	0	0	0	0	0	0.0545141832276212	0	0	0	0	0	28.4412829713057	50.3343000267076	17.7519444719177	9.550459854642	14.5368909951229	0	0	0	0.083169226587738	0	0	0	0.396025488200421	0	0.207058757270609	0	0.710021527852725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.655168860819902	0.098113734029169	0	0	0	0	0.175310635105727	0	0	0	0	0	0	0	0	0	0	0	0	0.113642316944104	0	0.574743913270377	0	0	12.2555027207216	0.0232043246363911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710944144333284	0	0	0.191987331907891	0.448400331816246	0	0	0	0.0407754927871211	0	0	0	0	0.154553724574753	0.422075386884852	0.13196780091232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23930257416508	9.43089833432652	11.7652803048619	6.8710307527705	6.97030880791455	4.51375567040556	3.8172134952239	0.357149362363386	0	0	0	0	0	0	0	5.67061690109647	0	0.211249857670408	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNX3	437.101981954388	1.43222548369642	4.29058716685378	217.650106708027	2.9495914815798	50.4403217145028	40.1946767646632	44.8822412395985	176.22150447194	1.05220405182736	24.0644001851996	183.006116257043	405.069985652638	18.2680445702154	7.21141133730014	25.8947804543671	42.5130419041454	74.60606747197	0.763198565186697	2.57357839175542	125.009766387999	0	368.047397863388	63.9318797182159	43.410379271993	1.95262370793262	0	152.807357674272	0	707.604717364782	1.15218729956742	345.05572191	2.07923066469345	6.33697863228414	10.1721971328209	525.183550540589	16.2370450162172	2.89773065540872	0.103529378635305	0	0	0	0	183.582643095562	26.4734051161136	260.860368927453	395.513578039915	5.85048158239145	12.8387284523341	137.645804089374	246.366100024637	10.0731140192564	11.9056123056409	122.207079407227	1.65972349006655	325.670087630964	78.4219098751282	192.473387253676	5.76548597521514	1.66793347849587	32.1087687357482	9.06032754378403	56.3602760670059	35.3917329850128	12.9729869978238	97.2308888995556	28.684683231942	74.5454230740485	340.304371048555	109.6582430313	41.1227159415498	103.216348858007	280.768497445653	28.1436979693384	26.4955876014781	344.647790995349	197.421758926258	5.45483121331697	58.2095392499377	10.3453904388668	3.43436520266833	29.8615239693024	24.5110054414432	0.371269194182258	0.456834634440672	0.77825890511943	464.83170964587	0.663310609785866	0.54119868201885	18.8553313985192	275.281543872833	0.557914355459956	46.4673479333591	0.525728909990479	356.395287550761	15.7054906395276	0.765264345262784	4.89045383411581	0	9.48796180959829	1.08187152398543	0.820049219354146	254.45940100257	293.548630487166	0.448400331816246	74.4202661268717	1.2059613079374	285.850745415371	6.32020138200378	60.4893626320692	78.362980167236	176.279042008562	387.483933933431	9.11866974991044	10.1298092852364	60.0453494151055	15.1516681986687	25.2375416486558	4.48561239823267	17.9708598912691	218.412191803774	67.8540478816936	84.7568131438258	1.73463546635675	521.021122156671	2.98226150854716	342.422438232853	131.940526670185	14.4464830037127	9.66146235894265	277.524152334124	93.7510416782409	17.5727879520966	417.752052309051	135.083381654383	78.1940572516489	459.06744030151	36.0605976548723	160.40971981285	74.6653930764261	23.6043174087213	174.789013848076	6.53884831689195	15.0280573831343	527.627582241195	50.512513937961	99.1255785909504	378.549475956812	120.961193733275	1.05419733941675	2.07938223633141	25.4214100453371	66.8183886841893	1.63859570163576	6.8622876121984	573.517076819191	418.49611358574	342.957920886726	206.130922583115	13.9406176158291	0	1.52688539808956	16.4288706687158	109.245222000489	596.792812902976	2.41895493083805	73.5781031565006	12.3848595092499	200.547494660423	2.84170024609124	8.7717355188836	222.967343821168	2.74624814971531	55.750579341437	177.197245848522	636.571771658812	13.8542532557495	0.339808324318502	3.1450684854388	0.427294732951474	0.136755970594731	16.0896127069325	10.1722825644683	1.5134896576441	37.0035454021938	277.060235455481	38.6484632404804
GMEB1	16.5327226087592	10.0255783858749	10.0113700559922	15.5767805711666	12.7815630868458	18.6712793086833	16.6520803739319	14.0086995384202	25.5393484741942	16.8352648292378	6.73803205185589	38.5276034225354	34.8893026764025	17.8042578251324	3.20507170546673	26.5263604654492	26.546162110653	21.1929475728691	14.0646592727263	24.4489947216765	26.0437013308331	12.8921801192269	37.358194519968	32.8298841796244	8.98145778041234	7.81049483173048	13.9479563707925	9.550459854642	19.3825213268305	0	24.3239541019788	18.3563525271944	12.2258763083975	13.2500462311396	18.1646377371802	26.0926288323549	22.9694783156244	17.1229538728697	20.7058757270609	7.36012327819116	9.94030138993814	18.8070907638377	16.2573373936033	9.27185066139201	8.11281769687353	16.6802367342599	17.3944400411852	9.36077053182633	0	27.2520216150102	5.02787959233952	16.7885233654274	35.7168369169226	15.6425061641251	21.5764053708652	27.8533627579114	15.6843819750256	24.5513586629237	16.4228994445522	20.9963390822422	22.7202398656464	20.7093201000778	23.0736700677004	24.6919067337299	19.1965145440771	25.8461856568439	17.0557575973709	24.6539881406652	26.8484710886434	20.407990790443	22.2062666084369	23.1068698678007	32.5409513775924	9.38123265644613	17.6637250676521	16.0876886281492	14.5163058034013	18.0691283941125	9.70158987498962	17.338108050323	27.4749216213466	5.42936799441861	0	9.88504229510262	20.8113555689639	16.429910219188	11.6046751367901	12.1606945127409	14.2064654029948	18.426801139462	39.574439956442	32.6937812299534	37.2636703233701	3.15437345994287	35.1375635613427	0	32.9063668462997	19.5618153364632	14.5033684073126	35.2410010070794	9.98412863563698	11.480689070958	25.445940100257	19.5827078546049	24.2136179180773	15.6674244477625	20.5013422349357	29.7761193141011	5.38236504789999	33.1953819322331	33.0510528596505	28.3851471442358	35.7333887200858	16.2281410803491	18.5713170229335	26.6574957842886	24.334497409983	26.8484485623998	28.4088785221402	8.14678981737533	8.14642247655206	9.37032089794816	8.69300647628982	10.9860246202594	9.90534452769336	9.27814691548006	12.8536951288609	9.09934666690932	14.4464830037127	0	13.8905277484056	20.8335648173869	29.287979920161	14.3183179888692	32.3337881619535	3.39974161963691	29.8896626990454	13.4731903325897	29.7592692865469	25.562109699903	26.371720139399	24.1761961173029	16.3046607382241	6.01122295325372	31.7033909739095	29.0178271558499	23.4296822124065	32.3785718611423	26.174843947808	17.1307067655223	17.0249420599634	26.7593789950917	28.1874234509934	16.3859570163576	6.8622876121984	28.4638887122513	18.861796668653	15.2948643963205	19.6315164364871	23.2343626930485	20.311900516825	21.3763955732539	13.9288251321721	30.3678053936377	27.0245802069272	13.7074112747489	30.9802539606318	27.8659338958124	0	19.8919017226387	16.4802303688116	25.6111138172963	14.1537404639174	37.1670528942913	25.3138922640745	21.7013103974595	18.4723376743327	20.8982119455879	6.29013697087761	15.3826103862531	11.8977694417416	14.4806514362393	16.9039401438959	10.4430786377443	32.3781022269196	22.8597554006172	9.6621158101201
TFAP2E	0.435071647598927	0.348379171709939	1.43019572228459	0.424821288304542	0.3277323868422	0	0.738269573228508	0.408020374905441	0	0	0	3.21063361854462	1.07949575112631	0.695680117624564	0.801267926366683	0.421053340721416	0.391825271005949	0.344600773542586	0.218056732910485	0.257357839175542	1.20201698449999	0	5.53454733629155	1.72788864103286	0	0	0	0	0	8.13338755591704	0	0.437056012552249	0.665353812701904	0	0.363292754743604	0.555162315582018	1.58410195280168	0.263430059582611	0.207058757270609	0.0968437273446205	0	0	0	0	0.426990405098607	0.347504931963747	0.35988496636935	0.292524079119573	0	0	0	0	0	0.488828317628909	0	0	0	0.694849773478974	0.917236405147863	0.196227468058338	0.844967598309163	0.323583126563715	0.378256886355745	0.411531778895498	0.964208493081497	1.23077074556399	0	0.617779749232446	1.00681766582413	0.295013472310825	0.548302879220664	1.01942072946179	0.8223345113471	0	1.76637250676521	0.412504836619209	0.362907645085033	0.227284633888207	0	0.383162608846918	0	0	0	0.371269194182258	0.203037615306965	0.0864732116799367	0	0	0.405899011514137	0.642795388585882	1.30465186669589	0.111582871091991	0.224479941707049	0	0	0	0	0	0.72516842036563	1.3554231156569	0.092731844913037	0.820049219354146	3.18074251253213	0.767949327631566	0	0.783371222388123	0	1.19104477256405	0.0407754927871211	0.737675154049624	0.473850220210044	0.363912142874819	0.558334198751341	0.154553724574753	0	0.923774606386239	0	0	0	0.718834395650764	0.660520741342059	0	0	0	0	0	2.05659122061774	0	0	0	0.429603950981616	0	0	0.100833225273727	0	0	0.66668392637276	0	0.725835836257242	0.382339247648122	0.813941979611079	0.976816004739511	0.0849201080115838	0	1.87101979518154	0	0.764605013924686	2.39841273045498	1.11382314671524	0	0.259922779541426	0	0.506968047679737	0.273099283605959	0	0.605614653452155	0	0	0	0	0	0.76344269904478	0.357149362363386	0.394387083034256	0	0	0	3.09621487731249	0	0	0.0886033890796323	0	0.422499715340817	0	0	0	0	0	0	0	0.273511941189462	1.60896127069325	1.34633151588552	0.15134896576441	4.62544317527423	0.914390216024689	0
POU3F1	3.77062094585736	4.49022043537255	20.0227401119843	2.26571353762423	4.915985802633	0.83602743173209	0.328119810323781	0.136006791635147	4.25655807903237	1.05220405182736	2.88772802222395	0	0.259078980270315	0.0257659302823912	0	0	3.13460216804759	0.344600773542586	0	0	1.20201698449999	0	1.38363683407289	0	4.49072889020617	8.24441121127106	5.07198413483363	12.733946472856	2.42281516585381	8.13338755591704	3.20052027657616	11.8005123389107	2.57824602421988	3.45653379942771	1.45317101897442	6.66194778698422	15.8410195280168	6.84918154914788	0	0.193687454689241	0	0	0	28.4336753616022	35.0132132180858	1.50585470517624	2.03934814275965	12.5785354021416	8.55915230155605	2.30949335720426	5.02787959233952	10.0731140192564	0	0.488828317628909	0	0	0	2.08454932043692	2.66435336733427	0.588682404175014	0.187770577402036	1.29433250625486	0	0	0.175310635105727	4.92308298225598	0	8.76332014651951	7.886738382289	3.99135874302881	0.274151439610332	5.86166919440532	3.75924348044389	0.469061632822306	1.76637250676521	0.825009673238419	2.54035351559523	0.227284633888207	0	0.574743913270377	0.429295650333541	0	0	2.6220886839122	1.37050390332202	1.55651781023886	1.93411252279835	6.63310609785866	5.00608780867436	0.642795388585882	0.434883955565297	0.223165742183983	0.224479941707049	0	0	0	0	0	0	0	3.83291625640553	3.28019687741658	6.36148502506425	2.3038479828947	4.9324036499787	0	2.41192261587479	1.19104477256405	0.448530420658333	8.66768306008309	6.81159691551938	1.23730128577438	5.02500778876207	1.54553724574753	0.844150773769703	1.3196780091232	6.42798044792004	0.536968971247996	1.49520413274422	2.99514331521152	7.26572815476265	0.32311451372235	0.543312904768114	2.89105911059458	19.8106890553867	1.65681194919287	7.19806927216208	9.09934666690932	0	0	2.43442238889583	13.1945910510117	38.0743738962093	1.20999870328472	7.18528625821188	0	3.88898957050777	0.396270303899696	0.725835836257242	10.3777795790205	0.162788395922216	3.11360101510719	0.0849201080115838	0	2.3907475160653	0.537367169552776	5.2156984878434	9.79351864935785	6.12602730693379	2.10839467883351	1.29961389770713	0.668984474877292	8.97333444393134	0.546198567211919	0	12.7179077224953	4.71544916716326	8.82396022864646	0	9.2937450772194	0	0	0	12.6203866570962	1.80163868046181	4.03159155139674	3.87253174507898	1.54810743865624	10.0273747330211	2.84170024609124	51.3013622771071	10.5457527482985	3.59124758039694	0.929176322357283	0	3.61688506624325	9.23616883716634	2.54856243238876	5.34661642524597	1.7091789318059	2.32485150011043	0	0.747961953269731	0.45404689729323	0	12.8014630243456	0
NFYC	17.1128181388911	13.7416228841143	17.1623486674151	15.7183876672681	20.3194079842164	23.4087680884985	25.1011654897693	25.1612564525022	17.0262323161295	36.8271418139577	10.5883360814878	28.8957025669016	22.4966914534724	40.7359357764606	5.60887548456678	38.1053273352881	24.4890794378718	17.4884892572863	43.2297472995036	43.3219029278829	27.6463906434998	12.8921801192269	33.2072840177493	19.0067750513615	23.9505540810996	15.4040314736907	22.8239286067513	9.550459854642	33.9194123219534	16.2667751118341	27.652495189618	18.6841445366086	21.2081527798732	22.4674696962801	38.5090320028221	23.3168172544448	28.5138351504303	21.6012648857741	38.409399473698	47.9376450355872	33.371011809078	46.6088771103805	20.3216717420042	16.6893311905056	11.955731342761	16.6802367342599	14.8752452765998	14.9187280350982	0	21.70923755772	10.055759184679	11.7519663557992	5.95280615282044	28.3520424224767	23.2361288609318	29.9959291239046	25.9395548048501	28.7204573037976	28.6090402558024	38.6568112074926	42.4361504928602	32.6818957829353	37.069174862863	29.2187563015804	27.2608037589405	38.1538931124838	29.4599449409134	24.2764560716898	25.5060475342112	20.7203579964191	27.1409925214229	23.1918215952558	24.3176062641214	14.5409106174915	21.1964700811825	15.4689313732204	15.6050287386564	15.7962820552304	15.0913620277616	20.7865715299453	21.8940781670106	19.0027879804651	0	15.1524239875634	15.2278211480224	16.6893298542278	18.0517168794513	22.5525607327194	21.1067485987351	27.4259365796643	25.2232694227872	36.7107645892651	39.7329496821476	12.091764929781	55.2161713106813	15.7054906395276	20.6621373220952	12.2261345852895	30.4570736553565	27.108462313138	23.8011735276795	20.5012304838536	19.0844550751927	14.9750118888155	28.6976212362397	25.8512503388081	14.4715356952488	14.2925372707685	13.5374636053242	26.7407243342989	24.2848237857647	22.6353352868137	29.0333783350698	17.1554634277976	25.7465985999759	28.900948399798	23.8753559494173	38.6617659298557	22.4280619911633	12.5796019238884	14.641543099749	14.2170386037834	14.126135523971	16.1899310193296	22.4521142627716	25.1835416277316	25.1932424525673	50.0464066680012	14.4464830037127	19.3229247178853	16.0385475033137	15.2779475327504	11.7151919680644	14.5199844394167	15.8076297680661	13.5989664785476	28.1673958892491	26.5501103612796	24.6784184327462	25.9444489475511	45.5807508582204	22.4667681090088	46.11161865029	4.50841721494029	27.8574058393696	45.676209411986	20.535106088263	21.9854500291707	24.1699622837206	23.4558908020228	24.5627026666648	50.1738356157969	27.2241841604019	25.3982333753542	13.7245752243968	15.745980989756	21.8089523981301	23.5305606097239	22.5762439019602	32.5281077702679	24.8256561872306	24.430166369433	30.3576958008878	25.2407733141924	18.4667964747336	16.126366205587	23.2351904704739	17.0291818252187	10.0273747330211	31.2587027070037	28.2644811164027	18.0784332827974	13.5199908909061	15.7959974800738	25.3138922640745	14.467540264973	18.4723376743327	18.0098411888806	19.4994246097206	29.6969839401275	20.6501515598044	17.6985739776258	36.051766147601	23.0050427961903	23.1272158763712	25.6029260486913	38.6484632404804
KLF17	0	0	0	0	0.3277323868422	0.278675810577363	0	0	0	0	0	0	0	0.0257659302823912	0	0	0	0	0.0545141832276212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61791563281858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0957906522117295	0	0	0	0.116021623181956	0	0.0864732116799367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0849201080115838	0	0	0	0	0	0	0.263549334854189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
