genes	Tissue.Celltype.specific.score	number.of.tissue.celltype.expressed
ZNF653	0.271960504189127	166
JUNB	0.0138843567401583	187
KLF1	2.8399720488505	55
NFIX	0.215659539304446	181
KLF2	0.0370307392117441	187
NR2F6	0.165096493803065	180
JUND	0.00928412457957626	187
GATAD2A	0.0148740301705184	187
PBX4	0.662838103137531	152
CEBPA	0.271778232942293	171
CEBPG	0.0267478680680937	186
ZNF302	0.057518897674179	184
ZNF599	0.369170876554874	160
USF2	0.0104042755394655	187
ZBTB32	1.25839290566859	106
ZNF829	0.272274953514582	168
POU2F2	0.315707622017493	169
ERF	0.0689014531652398	183
RELB	0.0975166654322347	184
FOSB	0.0849546299525074	184
CRX	0.916307513483257	119
IRF3	0.0100867030561645	187
SPIB	1.08829469859378	134
ZNF524	0.0312363327237197	185
ZNF581	0.0457153259837571	185
ZNF460	0.12278977893757	178
ZNF549	0.267308804849905	168
ZNF134	0.106073870978313	181
ZSCAN4	3.57783808580418	24
ZNF606	0.214924520120359	173
ZNF446	0.203273579289601	170
NKX2-2	5.55020058327066	9
VSX1	4.16135611950579	19
PLAGL2	0.0993777909298038	178
E2F1	0.71228047302915	147
MAFB	0.255912243044111	179
HNF4A	2.66840189212517	51
NCOA3	0.0158363909347276	187
SNAI1	0.487404881209297	165
CEBPB	0.0270506502391278	187
NFATC2	0.133461221370959	183
SALL4	2.27683550246521	63
TFAP2C	1.20826257662576	110
GABPA	0.0739949884319412	181
BACH1	0.0171958916725835	187
OLIG1	2.41384898034398	58
RUNX1	0.11054192976688	184
SIM2	2.34411488043015	59
ETS2	0.113105142766975	184
PKNOX1	0.054207435239737	183
THAP7	0.045942376232283	186
XBP1	0.0168114671968672	187
MAFF	0.0670723455151453	186
ATF4	0.00491623018719798	187
MRTFA	0.021951298866645	187
PPARA	0.0735125919101268	182
SHOX	0	0
ARX	3.94028357806105	26
NR0B1	3.48852607137936	22
ELK1	0.0900280637795478	179
GATA1	2.95268128161582	48
FOXP3	2.11442914030073	82
AR	0.809825244223219	145
ZDHHC15	1.05764707690489	109
TBX22	5.0410417234889	6
ZNF711	0.646637299554486	145
TGIF2LX	0	0
NKRF	0.0924266423475624	182
ZDHHC9	0.211471472148733	176
ELF4	0.153014364417365	177
ZIC3	5.18176526282864	6
ZFY	0.388881199699892	156
