ID	Uniprot
HMGB2	P26583
PTBP1	P26599
ZFP36	P26651
MAPK3	P27361
ARNT	P27540
RPA1	P27694
PSMB5	P28074
ELK4	P28324
PEX2	P28328
TEAD1	P28347
HOXD9	P28356
MSX1	P28360
SMARCA1	P28370
MZF1	P28698
RXRB	P28702
RBL1	P28749
GTF2E2	P29084
KDM5A	P29375
PML	P29590
CCND2	P30279
HOXA10	P31260
HOXA6	P31267
HOXA7	P31268
HOXA9	P31269
HOXA11	P31270
HOXA13	P31271
HOXC8	P31273
HOXC9	P31274
HOXC13	P31276
HOXD11	P31277
TLX1	P31314
HNRNPH1	P31943
OTX1	P32242
OTX2	P32243
ELF1	P32519
CIITA	P33076
MCM5	P33992
MCM7	P33993
CTNNB1	P35222
BMI1	P35226
PCGF2	P35227
GTF2F1	P35269
RORA	P35398
HOXD13	P35453
MSX2	P35548
FUS	P35637
DDIT3	P35638
NUP214	P35658
DEK	P35659
HNF1B	P35680
SOX5	P35711
SOX6	P35712
SOX11	P35716
MYH11	P35749
AHR	P35869
TCF7	P36402
ZNF76	P36508
SREBF1	P36956
PPARG	P37231
ZEB1	P37275
RBMX	P38159
BRCA1	P38398
COIL	P38432
CUX1	P39880
PBX1	P40424
PBX2	P40425
PBX3	P40426
STAT3	P40763
ID1	P41134
ETV5	P41161
BCL6	P41182
ETV6	P41212
SOX3	P41225
KDM5C	P41229
HNF4A	P41235
ELK3	P41970
STAT1	P42224
STAT6	P42226
STAT5A	P42229
MTOR	P42345
MLLT3	P42568
CASP3	P42574
RBM34	P42696
ETV4	P43268
NR4A2	P43354
GATA4	P43694
NKX2-1	P43699
CBX5	P45973
ATRX	P46100
CDKN1B	P46527
NOTCH1	P46531
NEDD4	P46934
YAP1	P46937
CDX1	P47902
ID4	P47928
ME1	P48163
RFX2	P48378
RFX3	P48380
RFX5	P48382
SOX2	P48431
SOX9	P48436
LHX1	P48742
NR2C2	P49116
CDK8	P49336
ARRB1	P49407
CENPA	P49450
HOXA1	P49639
EVX1	P49640
CTCF	P49711
CEBPA	P49715
CEBPD	P49716
MCM2	P49736
RBM25	P49756
NUP153	P49790
ZNF165	P49910
MNX1	P50219
MEOX2	P50222
LHX2	P50458
MXI1	P50539
ERF	P50548
ETV1	P50549
ASCL1	P50553
CDK7	P50613
CDK9	P50750
FXR1	P51114
FXR2	P51116
RORC	P51449
ZNF83	P51522
ZNF84	P51523
SMARCA2	P51531
SMARCA4	P51532
BRCA2	P51587
MECP2	P51608
HCFC1	P51610
STAT5B	P51692
ZNF157	P51786
ZNF41	P51814
AFF1	P51825
NR0B1	P51843
HDGF	P51858
STAT2	P52630
GTF2A2	P52657
ZNF133	P52736
ZNF136	P52737
ZNF140	P52738
ZNF132	P52740
ZNF134	P52741
ZNF143	P52747
HMGA2	P52926
PDX1	P52945
NUP98	P52948
NKX2-5	P52952
FOSB	P53539
CEBPG	P53567
HIRA	P54198
TERF1	P54274
NR1H2	P55055
CSE1L	P55060
CDH4	P55283
FOXG1	P55316
FOXA1	P55317
FOXA3	P55318
PKNOX1	P55347
RAG2	P55895
DLX1	P56177
MAZ	P56270
HDAC4	P56524
CTBP2	P56545
SOX10	P56693
SOX8	P57073
KLF3	P57682
NUP107	P57740
ZNF121	P58317
ZNF280A	P59817
ZNF445	P59923
PTEN	P60484
COPS2	P61201
MAX	P61244
HAND2	P61296
ISL1	P61371
SUMO2	P61956
WDR5	P61964
HNRNPK	P61978
TBPL1	P62380
SUMO1	P63165
UBE2I	P63279
YBX1	P67809
CSNK2A1	P68400
PITX1	P78337
SRPK2	P78362
IRX5	P78411
IRX3	P78415
NKX6-1	P78426
PRKDC	P78527
ELF3	P78545
CBX1	P83916
SMAD3	P84022
SRSF3	P84103
FOXK1	P85037
ZXDB	P98169
FOXO4	P98177
HOXA4	Q00056
TFAM	Q00059
GTF2B	Q00403
HOXC5	Q00444
HSF1	Q00613
NFKB2	Q00653
IRF9	Q00978
